4956,4925,5338,4935,4501,NaN,4020,NaN,4788,NaN,NaN,NaN,NaN,4353,4729,NaN,NaN,NaN,NaN,4189,6987,3996,4763,4866,7033,7246,5539,6165,5819,7660,6441,NaN,NaN,NaN,7585,4233,NaN,5199,3818,5641,3967,4635,3903,4049,5535,10619,5933,4121,7139,5322,5343,6156,6817,5881,6821,NaN
NaN,NaN,3.5766e+05,4.1422e+05,4.6401e+05,4.3051e+05,3.04e+05,NaN,5.1746e+05,2.8158e+05,3.3321e+05,NaN,NaN,NaN,3.1863e+05,4.3086e+05,NaN,5.2156e+05,NaN,3.6505e+05,NaN,3.9631e+05,3.4202e+05,2.271e+05,3.505e+05,2.4278e+05,2.9381e+05,4.0942e+05,NaN,4.8791e+05,NaN,3.286e+05,5.5596e+05,3.8024e+05,2.5897e+05,6.8349e+05,3.3184e+05,NaN,4.2468e+05,3.2417e+05,5.4325e+05,4.0043e+05,NaN,NaN,5.5082e+05,NaN,4.5631e+05,4.0724e+05,NaN,3.27e+05,5.2781e+05,NaN,2.7075e+05,3.6961e+05,3.7534e+05,2.5595e+05
1153,832,NaN,797,NaN,NaN,NaN,NaN,2136,1027,1754,845,870,NaN,1086,938,NaN,946,774,677,NaN,1205,690,NaN,NaN,796,928,1172,1018,1190,999,1214,NaN,NaN,1914,NaN,1045,896,1623,971,1493,1339,1035,809,1000,970,1215,1135,NaN,NaN,1074,830,1289,834,1586,NaN
1.0999e+05,1.1728e+05,NaN,74974,NaN,NaN,NaN,1.2444e+05,1.3073e+05,1.4191e+05,1.5314e+05,63715,NaN,1.6784e+05,1.4501e+05,NaN,1.7018e+05,1.6623e+05,NaN,2.6688e+05,NaN,64819,1.683e+05,NaN,1.9039e+05,NaN,65836,NaN,1.3986e+05,98607,1.1944e+05,NaN,1.4436e+05,1.5391e+05,NaN,1.8053e+05,1.7449e+05,NaN,NaN,1.4183e+05,1.6643e+05,NaN,1.7654e+05,NaN,NaN,1.1823e+05,2.795e+05,NaN,1.5418e+05,1.7163e+05,1.9884e+05,1.0285e+05,2.0929e+05,2.3447e+05,NaN,NaN
NaN,5.6985e+05,NaN,NaN,6.9539e+05,7.3576e+05,NaN,5.7874e+05,NaN,6.7618e+05,1.2658e+06,NaN,6.2965e+05,7.2514e+05,6.8319e+05,NaN,1.2832e+06,NaN,6.6605e+05,8.7334e+05,8.0233e+05,8.9845e+05,NaN,NaN,9.1695e+05,7.2859e+05,NaN,7.0403e+05,7.0226e+05,5.7135e+05,NaN,6.9981e+05,NaN,6.1952e+05,1.1289e+06,8.1588e+05,NaN,NaN,6.0307e+05,6.7575e+05,6.0743e+05,2.5789e+06,NaN,NaN,7.4353e+05,6.6362e+05,3.2363e+05,1.0338e+06,7.8983e+05,7.5902e+05,NaN,NaN,NaN,7.7204e+05,3.2477e+05,4.4469e+05
1.3836e+05,1.8141e+05,2.1762e+05,1.5401e+05,2.0165e+05,1.6612e+05,NaN,NaN,NaN,2.101e+05,1.5423e+05,1.2543e+05,NaN,2.2851e+05,2.2313e+05,1.5807e+05,2.026e+05,NaN,1.228e+05,NaN,NaN,1.9946e+05,1.8647e+05,1.5522e+05,NaN,1.8197e+05,1.9331e+05,1.7244e+05,1.4262e+05,1.9734e+05,NaN,1.7205e+05,NaN,2.2608e+05,1.2781e+05,2.3315e+05,1.6413e+05,1.27e+05,1.9681e+05,1.8776e+05,1.9582e+05,1.5857e+05,1.3252e+05,NaN,NaN,1.6877e+05,NaN,1.7511e+05,NaN,1.711e+05,2.3705e+05,1.4774e+05,1.3519e+05,2.3606e+05,2.1507e+05,NaN
1.5113e+05,1.2848e+05,NaN,NaN,NaN,1.6166e+05,NaN,1.1934e+05,2.1613e+05,1.9442e+05,1.0832e+05,1.4313e+05,NaN,NaN,1.8301e+05,1.7755e+05,2.0459e+05,1.7217e+05,NaN,NaN,NaN,2.0379e+05,1.4155e+05,1.6466e+05,1.6161e+05,NaN,1.4698e+05,1.8063e+05,NaN,1.6838e+05,1.0966e+05,NaN,1.8585e+05,NaN,1.2194e+05,NaN,1.456e+05,NaN,NaN,1.1956e+05,NaN,1.5831e+05,NaN,1.4895e+05,1.3155e+05,1.2599e+05,1.9687e+05,1.723e+05,1.1279e+05,NaN,NaN,1.2032e+05,NaN,2.1493e+05,1.4549e+05,NaN
10592,7324,5827,NaN,12544,14904,9924,7733,10196,12591,7080,6978,6307,15051,7281,14511,10729,NaN,NaN,10264,5453,NaN,7184,7213,NaN,12265,NaN,9398,NaN,NaN,7292,3833,10358,9007,5947,3732,NaN,14072,NaN,7656,14630,NaN,12338,8912,NaN,6599,30309,NaN,12342,6603,10215,NaN,13877,9867,6127,6223
664,912,1073,780,1285,1236,1362,1044,847,733,NaN,1111,975,1414,NaN,1510,NaN,892,1051,1469,1380,914,875,1029,NaN,NaN,NaN,546,NaN,1335,879,1095,1569,NaN,4993,975,1144,1417,1056,971,1332,931,1003,605,1066,833,1985,925,1215,1081,NaN,NaN,NaN,NaN,NaN,NaN
29783,11066,12992,26836,NaN,NaN,26013,16011,18940,16322,NaN,11414,15575,25450,15225,NaN,NaN,67541,NaN,14590,NaN,19163,NaN,NaN,NaN,13286,18825,21343,NaN,16151,13081,NaN,19598,24011,13984,34030,NaN,24056,22133,16543,18948,21287,NaN,NaN,25633,13836,12973,34888,16429,NaN,NaN,NaN,11479,22557,13741,NaN
