NaN,4925,NaN,NaN,4501,4688,4020,7262,4788,5304,NaN,5817,4680,4353,4729,NaN,NaN,3935,NaN,4189,6987,3996,4763,4866,NaN,NaN,5539,6165,5819,7660,6441,6994,4959,5468,NaN,NaN,NaN,5199,3818,5641,NaN,4635,3903,NaN,5535,10619,5933,4121,NaN,5322,5343,6156,6817,5881,NaN,NaN
6.0902e+05,NaN,NaN,NaN,4.6401e+05,4.3051e+05,3.04e+05,3.2856e+05,NaN,2.8158e+05,3.3321e+05,NaN,NaN,3.3927e+05,3.1863e+05,NaN,NaN,5.2156e+05,NaN,3.6505e+05,NaN,3.9631e+05,3.4202e+05,2.271e+05,3.505e+05,2.4278e+05,NaN,4.0942e+05,2.7286e+05,4.8791e+05,2.9992e+05,3.286e+05,5.5596e+05,3.8024e+05,NaN,6.8349e+05,NaN,NaN,NaN,3.2417e+05,5.4325e+05,4.0043e+05,5.5544e+05,3.8806e+05,5.5082e+05,2.2559e+05,NaN,4.0724e+05,4.7469e+05,NaN,5.2781e+05,NaN,2.7075e+05,NaN,NaN,2.5595e+05
NaN,832,NaN,NaN,1111,NaN,NaN,NaN,2136,1027,1754,NaN,870,865,1086,938,NaN,946,774,677,855,NaN,690,NaN,NaN,NaN,NaN,1172,1018,1190,999,1214,1312,793,NaN,727,1045,896,1623,971,1493,1339,NaN,809,1000,970,1215,NaN,983,813,1074,830,1289,834,1586,NaN
1.0999e+05,1.1728e+05,1.205e+05,74974,1.6025e+05,1.3424e+05,NaN,1.2444e+05,NaN,1.4191e+05,NaN,63715,1.3017e+05,1.6784e+05,1.4501e+05,NaN,1.7018e+05,1.6623e+05,NaN,2.6688e+05,NaN,64819,NaN,1.0607e+05,NaN,1.7916e+05,65836,NaN,NaN,NaN,NaN,94139,1.4436e+05,1.5391e+05,NaN,NaN,1.7449e+05,1.6134e+05,1.5218e+05,1.4183e+05,1.6643e+05,2.0502e+05,1.7654e+05,NaN,NaN,1.1823e+05,NaN,1.7969e+05,1.5418e+05,1.7163e+05,1.9884e+05,1.0285e+05,2.0929e+05,2.3447e+05,NaN,NaN
6.637e+05,5.6985e+05,6.5978e+05,7.4596e+05,6.9539e+05,7.3576e+05,8.3019e+05,5.7874e+05,6.8635e+05,NaN,1.2658e+06,6.698e+05,6.2965e+05,7.2514e+05,6.8319e+05,9.719e+05,1.2832e+06,7.461e+05,6.6605e+05,8.7334e+05,8.0233e+05,NaN,6.7243e+05,NaN,9.1695e+05,7.2859e+05,NaN,7.0403e+05,7.0226e+05,5.7135e+05,6.9591e+05,6.9981e+05,4.1043e+05,NaN,1.1289e+06,8.1588e+05,NaN,NaN,NaN,6.7575e+05,6.0743e+05,2.5789e+06,8.3231e+05,5.9706e+05,7.4353e+05,6.6362e+05,3.2363e+05,1.0338e+06,7.8983e+05,7.5902e+05,6.3046e+05,4.9019e+05,NaN,7.7204e+05,3.2477e+05,4.4469e+05
1.3836e+05,1.8141e+05,NaN,1.5401e+05,NaN,1.6612e+05,1.4715e+05,NaN,1.9411e+05,2.101e+05,NaN,1.2543e+05,NaN,2.2851e+05,2.2313e+05,1.5807e+05,2.026e+05,NaN,NaN,3.0537e+05,NaN,1.9946e+05,1.8647e+05,1.5522e+05,NaN,NaN,1.9331e+05,1.7244e+05,NaN,1.9734e+05,NaN,1.7205e+05,NaN,2.2608e+05,1.2781e+05,2.3315e+05,1.6413e+05,1.27e+05,NaN,1.8776e+05,NaN,1.5857e+05,NaN,NaN,NaN,1.6877e+05,1.9282e+05,NaN,NaN,1.711e+05,2.3705e+05,NaN,1.3519e+05,2.3606e+05,NaN,NaN
1.5113e+05,1.2848e+05,2.0339e+05,1.8677e+05,1.6055e+05,1.6166e+05,1.8881e+05,1.1934e+05,NaN,1.9442e+05,1.0832e+05,1.4313e+05,1.5748e+05,NaN,1.8301e+05,NaN,2.0459e+05,1.7217e+05,NaN,NaN,NaN,2.0379e+05,1.4155e+05,1.6466e+05,NaN,1.7179e+05,1.4698e+05,1.8063e+05,1.289e+05,NaN,1.0966e+05,1.1047e+05,1.8585e+05,NaN,1.2194e+05,NaN,NaN,NaN,NaN,1.1956e+05,2.4337e+05,NaN,1.2338e+05,NaN,NaN,1.2599e+05,1.9687e+05,1.723e+05,1.1279e+05,NaN,2.5465e+05,1.2032e+05,NaN,2.1493e+05,NaN,NaN
10592,7324,5827,11181,12544,14904,9924,7733,10196,12591,NaN,6978,6307,15051,7281,NaN,10729,NaN,4808,10264,5453,NaN,NaN,7213,NaN,12265,6519,9398,6973,9833,7292,NaN,10358,NaN,NaN,3732,9620,14072,10695,NaN,14630,12754,12338,NaN,NaN,6599,30309,NaN,12342,6603,10215,NaN,13877,9867,6127,6223
664,NaN,NaN,780,NaN,1236,1362,1044,NaN,733,862,NaN,975,NaN,945,NaN,NaN,892,1051,1469,1380,914,875,1029,829,1338,NaN,NaN,NaN,1335,879,1095,1569,634,4993,975,1144,1417,NaN,NaN,NaN,931,1003,605,NaN,833,NaN,925,1215,1081,665,NaN,NaN,NaN,1291,781
NaN,NaN,12992,26836,NaN,19278,26013,16011,NaN,16322,17747,11414,15575,25450,15225,36574,17293,67541,NaN,NaN,NaN,19163,18509,20303,30177,13286,18825,21343,17415,16151,13081,NaN,19598,24011,13984,34030,23300,24056,22133,16543,NaN,21287,22930,NaN,25633,13836,NaN,34888,16429,15022,30330,NaN,NaN,NaN,13741,17478
