0.5991,0.65129,0.60276
0.67161,0.7119,0.69248
0.55119,0.60467,0.56879
0.53255,0.57404,0.53788
0.60137,0.62281,0.57049
0.62237,0.68729,0.64707
0.61525,0.68496,0.63979
0.60699,0.66057,0.61714
0.47297,0.5327,0.49239
0.67372,0.74072,0.70274
0.59083,0.60334,0.5607
0.6932,0.70305,0.65932
0.56956,0.61894,0.57839
0.54626,0.58842,0.5602
0.56029,0.60649,0.56025
0.58609,0.66963,0.62428
0.7245,0.76509,0.70949
0.5197,0.5499,0.51873
0.58617,0.65402,0.61334
0.5681,0.62118,0.58348
0.6576,0.70989,0.66943
0.64711,0.69351,0.65948
0.68108,0.70279,0.65701
0.6523,0.672,0.63573
0.54561,0.60782,0.56423
0.53915,0.59687,0.55001
0.66845,0.66905,0.63821
0.63924,0.67425,0.6386
0.54101,0.63221,0.6119
0.54904,0.58808,0.53994
0.5984,0.62261,0.5828
0.60222,0.65895,0.62578
0.61717,0.63249,0.58645
0.58376,0.62759,0.58913
0.50603,0.58401,0.55017
0.57218,0.62213,0.58338
0.68145,0.66471,0.63016
0.62223,0.67298,0.65357
0.59158,0.63985,0.59688
0.58761,0.61634,0.58824
0.58085,0.65801,0.6042
0.65569,0.67671,0.64285
0.56448,0.62777,0.58896
0.66227,0.7083,0.67638
0.61019,0.66014,0.63352
0.5941,0.66367,0.60214
0.54006,0.59956,0.55719
0.59875,0.6453,0.60821
0.56495,0.62623,0.58025
0.60219,0.64241,0.60857
0.57036,0.62182,0.6013
0.50071,0.57909,0.54363
0.60915,0.65778,0.62613
0.53836,0.61241,0.58409
0.5338,0.59563,0.56649
0.59721,0.61858,0.59045
0.65266,0.70962,0.66757
0.54041,0.57724,0.54783
0.52197,0.58822,0.54212
0.55281,0.63435,0.59948
0.54821,0.59854,0.56551
0.54,0.54792,0.53382
0.48411,0.55259,0.53404
0.65414,0.67113,0.63669
0.56019,0.5988,0.56158
0.55069,0.60419,0.56263
0.4848,0.55022,0.51887
0.60047,0.63442,0.59437
0.63532,0.64899,0.61703
0.68693,0.73264,0.68692
0.52964,0.58025,0.54343
0.53458,0.62656,0.58402
0.608,0.62038,0.597
0.58523,0.65778,0.62699
0.54361,0.6214,0.58106
0.5796,0.63745,0.6078
0.58667,0.62273,0.58089
0.59818,0.63396,0.61583
0.61391,0.63944,0.60978
0.54809,0.64061,0.58487
0.62803,0.66456,0.64316
0.67652,0.69232,0.65192
0.63136,0.67812,0.6475
0.54498,0.63136,0.58866
0.62972,0.63026,0.59641
0.56601,0.64851,0.60107
0.56547,0.60012,0.55303
0.58009,0.62723,0.60376
0.5795,0.63391,0.60692
0.50766,0.62003,0.59142
0.55658,0.58944,0.54953
0.65071,0.68102,0.62083
0.59135,0.61372,0.59182
0.62308,0.63779,0.60822
0.5593,0.61465,0.57702
0.65873,0.69025,0.65306
0.54221,0.59085,0.55704
0.59149,0.64003,0.59207
0.62087,0.69094,0.6573
0.63673,0.65334,0.61041
