NaN,131,NaN,NaN,171,251,240,107,NaN,201,NaN,204,3866,4186,2807,NaN,5526,NaN,4216,2442,3156,NaN,NaN,1732,153,180,120,152,169,121
510,381,400,579,NaN,NaN,662,430,NaN,527,887,617,206,NaN,156,112,135,NaN,NaN,NaN,301,170,NaN,106,532,356,382,515,517,435
119,122,86,80,88,97,89,115,NaN,106,NaN,99,87,NaN,106,60,70,NaN,79,105,105,87,68,NaN,74,59,54,NaN,86,NaN
NaN,266,228,NaN,296,NaN,307,241,218,326,NaN,223,1071,715,NaN,1255,1763,NaN,815,1850,1068,1902,NaN,1519,NaN,59,NaN,123,140,125
NaN,1.9723e+05,2.479e+05,NaN,2.2394e+05,2.3401e+05,1.7671e+05,1.7381e+05,NaN,1.8871e+05,2.0379e+05,1.8806e+05,13865,NaN,15547,NaN,13467,NaN,NaN,14295,14869,18066,14228,NaN,2.7867e+05,NaN,NaN,2.1415e+05,NaN,2.2508e+05
NaN,21560,NaN,NaN,20168,NaN,NaN,24619,27832,25831,24931,25368,13819,NaN,18136,13666,16240,NaN,NaN,NaN,NaN,17814,18699,20074,12275,14024,16701,19445,21420,19568
77,82,NaN,68,100,110,NaN,74,79,78,NaN,74,791,493,577,NaN,648,NaN,NaN,677,503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,114,41
NaN,NaN,608,816,782,724,418,485,409,446,585,511,453,1016,505,NaN,366,NaN,718,448,578,NaN,469,689,585,344,620,NaN,483,515
4311,4025,NaN,NaN,5081,4246,NaN,4636,NaN,4385,4108,NaN,7158,NaN,NaN,7357,NaN,NaN,8183,9027,7471,7784,6565,NaN,4446,4820,NaN,NaN,5014,5091
2064,1940,NaN,1674,2460,1922,2562,NaN,1933,2257,2317,1926,NaN,NaN,832,NaN,1015,NaN,791,988,766,1251,1021,898,939,757,775,1179,972,NaN
3264,NaN,3060,3123,NaN,3670,3735,3738,4133,4804,NaN,3819,16579,NaN,10701,12211,12121,NaN,10877,12163,14482,12051,12097,NaN,2628,NaN,NaN,3659,NaN,3429
NaN,1003,463,NaN,885,NaN,NaN,564,603,866,604,NaN,5481,2377,NaN,4006,4279,NaN,3679,3986,4700,NaN,NaN,3619,NaN,NaN,540,687,NaN,718
364,666,437,NaN,NaN,503,494,395,NaN,459,385,417,175,751,NaN,NaN,NaN,NaN,NaN,185,NaN,214,NaN,NaN,460,491,444,NaN,NaN,545
3102,NaN,3692,1689,2806,2091,2852,2999,2505,2678,2532,2427,NaN,NaN,1617,2523,1724,NaN,1659,1606,1425,2579,NaN,1067,NaN,1811,1459,2090,NaN,1732
43,NaN,119,NaN,39,84,40,86,60,102,NaN,85,NaN,37,46,68,87,NaN,48,47,86,73,NaN,40,88,NaN,42,NaN,NaN,135
8125,NaN,8898,NaN,12497,NaN,10300,8508,10995,8135,9021,9447,27669,NaN,NaN,NaN,17693,NaN,19030,19754,25058,19115,25731,17853,NaN,6796,6821,NaN,6229,NaN
46551,80976,46478,59133,34747,NaN,42274,NaN,NaN,NaN,26482,62747,36751,25158,44382,75380,77806,NaN,58075,41650,47472,60628,NaN,70576,NaN,61233,43434,41491,NaN,66488
426,329,NaN,NaN,493,2802,438,NaN,292,363,NaN,868,512,6781,367,415,352,NaN,NaN,213,NaN,213,385,3329,NaN,NaN,768,543,461,206
379,605,371,459,433,369,322,358,325,332,NaN,343,315,221,296,365,298,NaN,259,NaN,297,307,469,225,NaN,NaN,368,361,464,1827
3540,NaN,NaN,2781,NaN,3632,5194,NaN,3870,5305,4090,3868,NaN,1677,2288,6071,4578,NaN,NaN,1791,NaN,2856,NaN,1875,NaN,NaN,1256,4175,2152,1843
