NaN,131,NaN,NaN,NaN,251,240,NaN,NaN,201,218,204,NaN,4186,2807,6492,5526,NaN,4216,2442,3156,3436,3390,1732,153,180,NaN,152,169,NaN
510,381,NaN,579,551,NaN,NaN,430,591,527,887,617,206,NaN,NaN,NaN,NaN,NaN,189,NaN,301,170,171,NaN,532,NaN,NaN,515,517,435
119,122,86,80,88,97,89,115,NaN,106,NaN,99,87,82,106,NaN,70,NaN,NaN,105,105,87,68,NaN,74,59,54,NaN,86,NaN
193,NaN,228,NaN,296,NaN,307,241,218,326,203,223,1071,715,1381,1255,1763,NaN,NaN,1850,1068,1902,1578,1519,NaN,NaN,NaN,123,140,125
2.446e+05,1.9723e+05,2.479e+05,NaN,NaN,2.3401e+05,1.7671e+05,1.7381e+05,1.9158e+05,1.8871e+05,2.0379e+05,1.8806e+05,NaN,NaN,15547,15560,NaN,NaN,NaN,14295,14869,18066,NaN,NaN,2.7867e+05,3.2637e+05,2.9834e+05,NaN,2.3852e+05,2.2508e+05
17776,21560,NaN,NaN,20168,20326,23139,24619,27832,25831,24931,25368,NaN,NaN,18136,NaN,16240,NaN,NaN,NaN,17671,17814,NaN,20074,NaN,14024,16701,19445,21420,19568
77,82,NaN,68,100,110,113,74,79,78,NaN,NaN,791,493,577,633,648,NaN,532,677,NaN,567,NaN,388,NaN,NaN,NaN,84,114,NaN
593,NaN,608,816,782,NaN,NaN,485,NaN,446,NaN,511,453,NaN,505,NaN,NaN,NaN,718,448,578,NaN,469,689,585,NaN,620,571,483,515
4311,NaN,4849,NaN,5081,4246,NaN,4636,NaN,NaN,4108,NaN,7158,5056,8579,7357,7183,NaN,8183,9027,7471,7784,6565,4857,4446,4820,NaN,6174,5014,5091
2064,1940,2441,1674,2460,1922,2562,2427,1933,2257,2317,1926,NaN,NaN,NaN,1072,1015,NaN,791,988,NaN,NaN,NaN,898,939,NaN,775,1179,972,NaN
3264,4525,NaN,NaN,4258,3670,3735,3738,NaN,4804,4175,3819,NaN,NaN,10701,12211,12121,NaN,10877,12163,14482,12051,12097,11467,NaN,NaN,NaN,3659,4432,3429
606,NaN,NaN,679,885,NaN,NaN,NaN,603,866,604,685,5481,2377,3481,NaN,4279,NaN,3679,3986,4700,NaN,4209,3619,NaN,NaN,NaN,687,907,718
364,NaN,437,522,532,503,494,395,478,459,385,417,NaN,751,NaN,NaN,NaN,NaN,1436,NaN,NaN,214,240,1063,NaN,491,NaN,533,618,545
3102,NaN,3692,1689,2806,2091,2852,2999,2505,2678,2532,2427,1535,NaN,1617,2523,1724,NaN,NaN,1606,NaN,2579,NaN,NaN,1659,1811,1459,NaN,NaN,NaN
43,79,NaN,55,NaN,84,NaN,NaN,NaN,102,66,85,63,NaN,46,NaN,87,NaN,48,NaN,86,73,NaN,NaN,88,55,42,NaN,69,135
8125,11877,8898,NaN,12497,9024,10300,8508,10995,8135,9021,9447,27669,18222,NaN,18640,17693,NaN,NaN,19754,25058,19115,25731,17853,NaN,NaN,6821,NaN,NaN,NaN
46551,80976,46478,59133,NaN,NaN,42274,NaN,47131,56581,NaN,62747,36751,NaN,44382,75380,77806,NaN,58075,41650,NaN,60628,51793,70576,NaN,61233,43434,41491,NaN,66488
426,329,753,8537,493,2802,438,NaN,292,363,3750,868,512,6781,367,415,352,NaN,NaN,NaN,NaN,NaN,385,3329,7026,315,768,543,461,NaN
379,605,NaN,459,433,369,322,358,325,332,NaN,343,315,NaN,NaN,365,298,NaN,NaN,342,297,307,469,NaN,418,NaN,368,361,464,NaN
3540,NaN,2665,NaN,4038,3632,NaN,4463,3870,NaN,4090,3868,3594,NaN,2288,NaN,4578,NaN,NaN,1791,NaN,2856,2453,1875,NaN,NaN,NaN,4175,2152,1843
552,787,566,578,1299,662,NaN,NaN,697,1160,990,NaN,205,164,204,NaN,NaN,NaN,NaN,NaN,208,NaN,NaN,236,269,300,291,NaN,427,NaN
14148,10420,9531,12877,14175,18821,17809,13493,18383,16750,23605,16882,1337,2225,NaN,NaN,NaN,NaN,1803,NaN,2981,NaN,2028,1787,11455,9645,7958,13577,14455,11958
NaN,1881,3472,NaN,NaN,NaN,NaN,NaN,NaN,4491,8486,4168,9067,NaN,7815,9838,12046,NaN,NaN,2120,NaN,8205,4967,NaN,NaN,NaN,NaN,1936,2200,NaN
62199,75375,NaN,75162,68271,83022,69288,NaN,NaN,69912,66970,NaN,1.9765e+05,1.1144e+05,NaN,97837,1.8778e+05,NaN,NaN,1.8232e+05,1.2521e+05,1.1282e+05,NaN,1.4789e+05,NaN,NaN,62255,68158,78273,70830
2.223e+05,2.6859e+05,2.6761e+05,5.7913e+05,2.7615e+05,2.631e+05,NaN,NaN,NaN,NaN,2.4758e+05,2.2056e+05,2.7427e+05,NaN,3.5916e+05,2.3633e+05,2.4043e+05,NaN,6.441e+05,3.5935e+05,4.4714e+05,2.5294e+05,3.9162e+05,5.6892e+05,2.8801e+05,NaN,2.1123e+05,1.9551e+05,1.7915e+05,NaN
950,1263,963,NaN,1000,1038,NaN,1068,1025,1082,988,1018,1214,NaN,1012,1188,996,NaN,904,NaN,847,913,NaN,NaN,982,NaN,NaN,NaN,NaN,NaN
14583,NaN,NaN,NaN,13856,NaN,NaN,15209,15831,NaN,12095,14237,14346,13496,18548,25214,14593,NaN,NaN,14390,19122,14228,NaN,NaN,NaN,14704,12780,16566,16451,15586
1650,3772,NaN,1669,4576,NaN,2132,NaN,1494,2966,1647,1421,2395,2355,2273,NaN,3213,NaN,NaN,4232,2250,NaN,4531,2924,2522,NaN,2879,2662,NaN,1831
3.2071e+05,3.1866e+05,2.9544e+05,2.5232e+05,NaN,3.101e+05,NaN,3.0389e+05,3.1841e+05,3.0437e+05,2.7658e+05,2.632e+05,NaN,NaN,2.4993e+05,2.8178e+05,2.6255e+05,NaN,NaN,2.5205e+05,NaN,2.9169e+05,NaN,NaN,2.4159e+05,NaN,NaN,2.3658e+05,NaN,2.7937e+05
888,891,1004,NaN,1078,825,1150,900,820,1165,916,757,977,NaN,1202,1115,NaN,NaN,829,1241,930,1205,1195,1024,NaN,NaN,738,777,895,NaN
60,NaN,NaN,61,NaN,54,61,NaN,42,NaN,NaN,NaN,NaN,58,59,66,40,NaN,51,64,53,79,NaN,54,NaN,57,51,42,NaN,72
1356,1652,1254,NaN,1154,1284,1358,1438,1452,1368,1169,1295,1642,NaN,1246,NaN,NaN,NaN,NaN,1313,1339,1236,1314,1107,1209,NaN,NaN,1082,NaN,1228
NaN,1289,NaN,816,788,566,860,NaN,725,NaN,709,726,800,NaN,NaN,1058,944,NaN,803,628,NaN,845,NaN,860,549,682,591,NaN,NaN,723
NaN,1690,NaN,1218,NaN,NaN,2863,4748,1344,5208,1273,NaN,2436,7259,5423,NaN,2498,NaN,NaN,2798,1923,1620,NaN,1694,4635,4292,NaN,NaN,1509,7357
