150,131,108,NaN,171,251,240,107,NaN,201,218,204,3866,NaN,2807,NaN,5526,NaN,4216,2442,3156,NaN,3390,1732,NaN,180,NaN,152,169,121
510,381,400,579,551,781,662,NaN,591,527,887,NaN,206,NaN,156,112,135,NaN,189,NaN,301,170,NaN,106,532,NaN,NaN,515,517,NaN
NaN,122,86,80,88,97,89,115,53,106,NaN,99,87,82,106,NaN,70,NaN,79,105,105,87,68,NaN,74,59,54,NaN,86,48
NaN,266,228,118,296,NaN,307,241,NaN,326,203,223,1071,715,1381,1255,1763,NaN,815,NaN,1068,1902,1578,1519,NaN,59,51,123,NaN,NaN
2.446e+05,1.9723e+05,NaN,1.5697e+05,2.2394e+05,2.3401e+05,1.7671e+05,1.7381e+05,1.9158e+05,NaN,2.0379e+05,1.8806e+05,NaN,NaN,15547,15560,13467,NaN,NaN,14295,14869,18066,14228,NaN,NaN,3.2637e+05,2.9834e+05,2.1415e+05,NaN,NaN
NaN,NaN,19290,NaN,20168,20326,23139,24619,NaN,NaN,24931,25368,NaN,12893,NaN,13666,NaN,NaN,NaN,16583,17671,17814,18699,20074,12275,14024,16701,NaN,21420,19568
77,82,66,68,NaN,110,NaN,74,79,78,58,74,791,NaN,577,633,648,NaN,532,677,503,567,537,388,NaN,NaN,51,84,114,NaN
NaN,647,608,816,NaN,724,418,485,NaN,446,585,511,453,1016,NaN,NaN,366,NaN,718,448,578,NaN,469,NaN,585,NaN,620,NaN,483,NaN
4311,NaN,NaN,NaN,5081,4246,4680,4636,NaN,4385,NaN,4018,7158,5056,8579,7357,7183,NaN,8183,NaN,7471,7784,NaN,4857,4446,4820,NaN,6174,NaN,5091
2064,1940,2441,1674,NaN,NaN,2562,NaN,1933,2257,NaN,NaN,NaN,NaN,832,1072,1015,NaN,791,NaN,766,1251,1021,898,939,757,775,1179,972,NaN
3264,4525,3060,3123,4258,3670,3735,3738,4133,4804,4175,3819,16579,NaN,NaN,12211,12121,NaN,NaN,12163,14482,12051,12097,11467,NaN,NaN,NaN,3659,4432,3429
NaN,1003,463,679,885,744,442,564,603,NaN,604,685,5481,2377,3481,4006,4279,NaN,3679,3986,4700,NaN,4209,3619,NaN,NaN,540,687,907,718
364,666,437,522,532,503,NaN,395,NaN,NaN,NaN,417,175,751,NaN,NaN,NaN,NaN,1436,NaN,189,214,NaN,1063,460,491,444,NaN,618,545
NaN,1355,3692,1689,NaN,2091,2852,2999,2505,2678,2532,NaN,1535,NaN,NaN,2523,1724,NaN,1659,1606,1425,2579,NaN,1067,1659,1811,1459,2090,1381,1732
43,79,119,55,NaN,84,40,NaN,NaN,102,66,85,63,37,46,68,87,NaN,48,47,86,NaN,NaN,40,88,55,42,NaN,NaN,NaN
8125,NaN,8898,6601,12497,NaN,10300,NaN,10995,8135,9021,9447,27669,NaN,26685,18640,17693,NaN,19030,19754,NaN,19115,25731,17853,NaN,6796,6821,NaN,6229,NaN
46551,80976,46478,59133,34747,29970,42274,NaN,47131,NaN,NaN,62747,NaN,NaN,44382,75380,77806,NaN,58075,41650,47472,60628,51793,NaN,NaN,NaN,43434,41491,NaN,NaN
NaN,329,NaN,NaN,493,NaN,438,398,292,363,3750,868,512,6781,367,NaN,352,NaN,NaN,213,NaN,NaN,NaN,3329,NaN,NaN,768,543,NaN,NaN
NaN,605,NaN,NaN,433,369,322,358,NaN,332,NaN,343,315,221,296,365,298,NaN,259,342,297,307,469,225,418,NaN,NaN,361,464,1827
3540,3270,2665,2781,4038,3632,5194,4463,3870,NaN,4090,3868,NaN,1677,2288,6071,4578,NaN,NaN,1791,1405,2856,2453,1875,1728,NaN,NaN,4175,2152,NaN
552,787,566,578,1299,NaN,NaN,764,697,NaN,990,510,205,164,204,NaN,NaN,NaN,149,144,208,NaN,NaN,236,269,NaN,291,245,427,NaN
14148,10420,9531,NaN,14175,NaN,NaN,NaN,18383,16750,23605,16882,1337,2225,NaN,NaN,NaN,NaN,1803,630,2981,1095,2028,1787,11455,9645,NaN,NaN,NaN,11958
2803,1881,NaN,6652,2214,1843,6516,6151,3454,4491,8486,4168,9067,5084,7815,9838,12046,NaN,NaN,2120,1997,8205,NaN,1477,1618,NaN,NaN,1936,2200,1271
