150,131,108,NaN,171,251,240,NaN,NaN,201,218,204,3866,4186,2807,6492,5526,NaN,4216,NaN,3156,3436,3390,1732,153,180,120,152,169,121
510,381,400,579,551,781,662,430,NaN,NaN,887,617,206,NaN,156,NaN,135,NaN,189,NaN,301,170,171,106,532,356,382,515,517,435
NaN,122,86,80,NaN,97,89,115,53,NaN,NaN,99,87,82,106,60,70,NaN,NaN,NaN,NaN,87,68,NaN,74,59,54,48,86,48
193,266,228,118,296,NaN,307,241,218,NaN,NaN,223,1071,715,1381,1255,1763,NaN,815,NaN,1068,1902,1578,1519,NaN,59,51,123,NaN,125
2.446e+05,1.9723e+05,2.479e+05,1.5697e+05,2.2394e+05,2.3401e+05,1.7671e+05,1.7381e+05,1.9158e+05,1.8871e+05,2.0379e+05,1.8806e+05,13865,NaN,NaN,NaN,13467,NaN,NaN,14295,14869,18066,14228,13278,2.7867e+05,NaN,2.9834e+05,NaN,2.3852e+05,2.2508e+05
NaN,NaN,NaN,NaN,20168,20326,23139,24619,27832,NaN,24931,25368,13819,12893,18136,13666,16240,NaN,NaN,16583,17671,17814,18699,20074,NaN,14024,NaN,19445,21420,NaN
77,82,66,68,100,110,113,74,79,78,NaN,NaN,791,493,577,633,648,NaN,532,677,NaN,567,537,388,NaN,NaN,51,84,114,NaN
593,647,NaN,816,782,NaN,418,NaN,409,446,585,511,NaN,1016,505,NaN,NaN,NaN,718,448,578,NaN,469,689,585,344,NaN,571,483,515
4311,4025,4849,NaN,5081,NaN,4680,4636,NaN,4385,4108,4018,7158,NaN,8579,7357,7183,NaN,8183,NaN,7471,NaN,NaN,NaN,4446,4820,NaN,6174,5014,5091
2064,1940,2441,1674,2460,1922,2562,2427,1933,2257,2317,NaN,NaN,NaN,832,1072,NaN,NaN,791,988,NaN,1251,1021,898,939,757,775,NaN,972,634
3264,4525,3060,3123,4258,3670,3735,3738,4133,NaN,4175,3819,NaN,8184,10701,12211,12121,NaN,10877,12163,14482,12051,12097,11467,NaN,NaN,NaN,3659,4432,3429
606,1003,463,679,NaN,744,442,564,NaN,866,604,685,NaN,2377,3481,4006,4279,NaN,3679,3986,NaN,4000,NaN,NaN,NaN,NaN,NaN,687,907,718
364,666,437,522,532,503,494,395,478,NaN,385,417,NaN,751,NaN,NaN,156,NaN,1436,NaN,189,214,240,1063,460,491,444,533,618,545
NaN,NaN,3692,1689,2806,2091,2852,2999,2505,NaN,2532,NaN,1535,NaN,1617,NaN,1724,NaN,1659,NaN,1425,NaN,NaN,1067,1659,1811,1459,2090,1381,1732
43,79,NaN,55,39,84,40,NaN,60,102,66,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47,86,73,NaN,40,NaN,NaN,42,NaN,69,NaN
8125,11877,NaN,6601,NaN,9024,10300,NaN,10995,8135,9021,9447,27669,18222,26685,18640,NaN,NaN,19030,19754,NaN,NaN,25731,17853,NaN,6796,6821,NaN,6229,5199
