150,131,108,NaN,171,251,240,NaN,NaN,201,218,NaN,NaN,4186,2807,6492,5526,NaN,4216,2442,NaN,3436,3390,NaN,153,180,120,NaN,169,NaN
510,381,NaN,579,551,NaN,662,430,591,527,NaN,NaN,206,NaN,NaN,112,135,NaN,189,NaN,NaN,NaN,171,106,532,356,382,515,517,435
NaN,122,86,80,88,97,NaN,NaN,53,106,NaN,99,NaN,82,NaN,60,70,NaN,79,105,105,87,68,NaN,74,NaN,54,48,NaN,48
193,266,228,118,296,NaN,NaN,NaN,218,326,NaN,NaN,1071,715,1381,NaN,NaN,NaN,815,1850,1068,NaN,1578,1519,NaN,59,51,123,140,125
2.446e+05,1.9723e+05,2.479e+05,1.5697e+05,2.2394e+05,2.3401e+05,1.7671e+05,NaN,1.9158e+05,1.8871e+05,2.0379e+05,1.8806e+05,NaN,NaN,15547,15560,13467,NaN,NaN,14295,14869,18066,14228,NaN,2.7867e+05,3.2637e+05,2.9834e+05,2.1415e+05,2.3852e+05,2.2508e+05
17776,21560,19290,NaN,20168,20326,23139,24619,27832,25831,24931,25368,13819,12893,18136,13666,16240,NaN,NaN,NaN,17671,17814,18699,NaN,12275,14024,16701,NaN,21420,19568
77,NaN,66,68,100,110,113,74,79,78,58,74,791,NaN,577,633,NaN,NaN,532,677,503,NaN,537,388,NaN,NaN,NaN,84,NaN,41
593,647,NaN,816,782,724,418,485,409,446,585,511,NaN,1016,505,NaN,NaN,NaN,718,448,NaN,NaN,469,NaN,585,344,620,571,483,515
4311,4025,4849,NaN,5081,4246,4680,NaN,NaN,4385,4108,4018,7158,NaN,8579,7357,7183,NaN,8183,9027,7471,7784,6565,4857,4446,4820,3808,6174,NaN,5091
2064,1940,NaN,NaN,NaN,1922,2562,2427,NaN,2257,NaN,1926,NaN,NaN,832,1072,NaN,NaN,791,988,766,1251,NaN,898,939,757,775,1179,972,634
NaN,NaN,3060,3123,NaN,3670,3735,3738,4133,NaN,4175,3819,NaN,8184,NaN,NaN,12121,NaN,10877,12163,14482,12051,12097,11467,NaN,NaN,NaN,3659,4432,3429
NaN,1003,NaN,679,NaN,744,442,564,NaN,866,604,685,5481,2377,NaN,4006,4279,NaN,3679,NaN,NaN,NaN,4209,3619,NaN,NaN,540,687,907,718
364,666,437,522,532,503,494,395,NaN,459,385,417,175,751,NaN,NaN,NaN,NaN,1436,185,NaN,214,NaN,1063,460,NaN,444,533,618,NaN
3102,1355,NaN,1689,2806,2091,2852,2999,2505,2678,2532,2427,1535,NaN,1617,NaN,1724,NaN,1659,1606,1425,NaN,NaN,NaN,NaN,1811,NaN,2090,1381,NaN
43,79,119,55,39,NaN,NaN,NaN,60,102,66,85,63,37,46,NaN,87,NaN,NaN,NaN,NaN,73,NaN,40,88,55,42,NaN,69,NaN
8125,11877,8898,6601,12497,9024,10300,8508,10995,NaN,9021,NaN,27669,18222,26685,NaN,17693,NaN,NaN,19754,25058,19115,25731,NaN,NaN,6796,6821,NaN,6229,NaN
46551,80976,46478,NaN,34747,NaN,NaN,56054,47131,NaN,NaN,62747,36751,25158,44382,75380,77806,NaN,NaN,NaN,NaN,60628,51793,70576,NaN,61233,43434,41491,NaN,66488
NaN,329,753,NaN,493,2802,NaN,398,292,363,NaN,NaN,512,6781,367,415,352,NaN,NaN,213,NaN,213,NaN,3329,NaN,315,768,543,461,206
379,NaN,NaN,459,433,369,322,358,325,332,NaN,NaN,315,NaN,296,365,NaN,NaN,259,342,297,307,469,225,418,NaN,368,361,464,1827
3540,3270,2665,NaN,4038,NaN,5194,4463,NaN,NaN,NaN,3868,3594,1677,2288,6071,4578,NaN,NaN,1791,1405,2856,2453,1875,NaN,NaN,NaN,NaN,2152,1843
552,787,566,578,NaN,NaN,NaN,764,697,1160,NaN,510,NaN,164,204,NaN,158,NaN,149,144,208,NaN,126,NaN,269,300,291,245,NaN,196
14148,10420,9531,12877,NaN,18821,17809,NaN,NaN,16750,23605,16882,1337,NaN,NaN,NaN,NaN,NaN,1803,NaN,NaN,1095,2028,1787,NaN,9645,7958,13577,NaN,11958
NaN,1881,3472,6652,2214,NaN,6516,6151,NaN,4491,8486,4168,9067,5084,7815,9838,12046,NaN,NaN,NaN,1997,8205,4967,1477,1618,NaN,NaN,NaN,NaN,1271
62199,NaN,NaN,75162,NaN,83022,69288,58472,58057,NaN,66970,NaN,1.9765e+05,1.1144e+05,NaN,97837,1.8778e+05,NaN,NaN,1.8232e+05,1.2521e+05,NaN,NaN,NaN,60476,NaN,62255,NaN,NaN,70830
2.223e+05,2.6859e+05,2.6761e+05,5.7913e+05,2.7615e+05,2.631e+05,1.4375e+05,1.5914e+05,NaN,NaN,2.4758e+05,2.2056e+05,2.7427e+05,7.8343e+05,3.5916e+05,2.3633e+05,2.4043e+05,NaN,6.441e+05,3.5935e+05,4.4714e+05,2.5294e+05,3.9162e+05,5.6892e+05,2.8801e+05,NaN,2.1123e+05,NaN,1.7915e+05,1.6195e+05
950,NaN,963,769,1000,1038,NaN,1068,1025,1082,988,1018,1214,NaN,1012,1188,996,NaN,904,986,847,913,984,NaN,982,NaN,NaN,769,NaN,844
NaN,NaN,NaN,9747,13856,10983,13833,NaN,15831,NaN,12095,14237,NaN,13496,18548,25214,14593,NaN,16247,14390,19122,NaN,NaN,9580,NaN,14704,12780,16566,16451,15586
1650,3772,1245,NaN,NaN,NaN,2132,1167,NaN,2966,1647,1421,2395,NaN,NaN,NaN,3213,NaN,NaN,4232,NaN,960,4531,2924,NaN,NaN,NaN,NaN,1996,1831
NaN,NaN,2.9544e+05,2.5232e+05,2.8167e+05,3.101e+05,NaN,3.0389e+05,3.1841e+05,3.0437e+05,2.7658e+05,NaN,3.2593e+05,NaN,2.4993e+05,2.8178e+05,2.6255e+05,NaN,NaN,2.5205e+05,2.7037e+05,2.9169e+05,2.5014e+05,NaN,2.4159e+05,2.2648e+05,NaN,2.3658e+05,2.3316e+05,2.7937e+05
NaN,891,1004,NaN,1078,825,1150,900,820,1165,916,757,977,674,1202,1115,NaN,NaN,829,1241,930,1205,1195,1024,NaN,661,738,777,895,661
NaN,32,39,NaN,NaN,54,61,48,42,NaN,NaN,92,56,58,59,NaN,40,NaN,NaN,64,53,NaN,37,54,NaN,57,51,42,35,NaN
1356,NaN,NaN,991,1154,1284,NaN,1438,NaN,1368,1169,NaN,1642,NaN,1246,1148,1076,NaN,981,1313,1339,1236,1314,1107,1209,1063,NaN,1082,NaN,1228
NaN,NaN,NaN,NaN,788,566,NaN,NaN,725,877,709,726,800,NaN,587,NaN,NaN,NaN,803,628,706,845,1158,NaN,549,682,591,NaN,542,723
NaN,1690,NaN,1218,NaN,5568,2863,4748,1344,5208,1273,NaN,2436,7259,5423,1624,2498,NaN,3354,NaN,1923,1620,1153,NaN,NaN,4292,NaN,NaN,1509,7357
63,52,54,NaN,74,60,53,74,43,99,74,44,423,274,439,225,280,NaN,211,266,NaN,NaN,166,156,NaN,42,51,NaN,NaN,44
