150,131,NaN,NaN,171,251,NaN,NaN,NaN,201,NaN,204,3866,4186,2807,6492,5526,NaN,4216,2442,3156,3436,3390,1732,153,180,NaN,152,169,NaN
510,381,400,579,551,781,662,430,591,527,887,617,206,NaN,NaN,NaN,NaN,NaN,189,NaN,301,NaN,171,NaN,532,356,382,515,517,NaN
119,NaN,NaN,80,88,97,89,115,NaN,106,NaN,99,87,82,106,NaN,70,NaN,79,105,105,87,68,NaN,74,59,54,NaN,86,NaN
193,266,228,NaN,296,NaN,307,241,218,326,203,223,NaN,715,1381,NaN,1763,NaN,815,1850,1068,1902,1578,NaN,NaN,NaN,NaN,123,140,125
2.446e+05,1.9723e+05,2.479e+05,1.5697e+05,2.2394e+05,2.3401e+05,1.7671e+05,NaN,1.9158e+05,NaN,2.0379e+05,1.8806e+05,NaN,NaN,15547,15560,NaN,NaN,NaN,14295,14869,18066,14228,NaN,NaN,3.2637e+05,2.9834e+05,2.1415e+05,NaN,2.2508e+05
17776,21560,NaN,NaN,20168,20326,23139,24619,27832,25831,NaN,25368,NaN,NaN,18136,NaN,16240,NaN,NaN,NaN,17671,17814,18699,20074,NaN,NaN,16701,NaN,21420,19568
77,82,66,68,100,110,113,74,79,78,NaN,74,791,493,577,633,648,NaN,532,677,503,567,537,388,NaN,NaN,NaN,84,114,NaN
593,647,608,816,782,724,418,485,NaN,446,NaN,511,453,NaN,505,NaN,NaN,NaN,718,448,578,NaN,469,689,585,NaN,620,571,483,515
4311,NaN,4849,NaN,5081,4246,4680,4636,NaN,4385,4108,NaN,7158,5056,8579,NaN,NaN,NaN,8183,9027,NaN,7784,6565,4857,4446,4820,NaN,6174,5014,5091
2064,NaN,2441,1674,NaN,1922,2562,2427,1933,2257,2317,1926,NaN,NaN,NaN,1072,NaN,NaN,791,988,NaN,1251,NaN,898,939,NaN,775,NaN,972,NaN
3264,4525,NaN,NaN,4258,NaN,3735,3738,4133,4804,4175,3819,16579,8184,10701,12211,12121,NaN,10877,12163,14482,12051,12097,11467,NaN,NaN,NaN,3659,4432,3429
606,1003,NaN,679,885,744,NaN,NaN,603,866,NaN,NaN,5481,2377,3481,4006,4279,NaN,3679,3986,4700,4000,4209,3619,NaN,NaN,NaN,687,907,718
NaN,666,437,522,532,503,494,395,478,NaN,385,417,NaN,NaN,NaN,NaN,NaN,NaN,1436,NaN,NaN,214,NaN,1063,460,491,444,533,618,545
3102,NaN,3692,1689,2806,2091,2852,2999,2505,2678,2532,NaN,1535,NaN,1617,2523,1724,NaN,1659,1606,1425,NaN,NaN,NaN,1659,1811,1459,2090,NaN,1732
43,79,119,55,NaN,NaN,NaN,NaN,60,102,66,NaN,63,NaN,46,NaN,NaN,NaN,48,47,86,NaN,NaN,NaN,88,55,42,NaN,69,135
8125,11877,NaN,NaN,12497,NaN,NaN,8508,10995,NaN,9021,9447,27669,18222,26685,18640,17693,NaN,19030,19754,25058,19115,25731,17853,NaN,6796,6821,NaN,NaN,NaN
NaN,80976,NaN,59133,34747,NaN,42274,56054,47131,56581,NaN,62747,36751,NaN,44382,75380,77806,NaN,58075,41650,NaN,60628,51793,70576,NaN,61233,43434,41491,NaN,66488
426,329,753,8537,493,2802,438,398,292,363,3750,868,512,6781,367,415,352,NaN,NaN,NaN,NaN,NaN,385,3329,7026,315,768,543,461,NaN
379,605,371,459,433,369,322,NaN,325,332,NaN,343,315,NaN,296,365,298,NaN,NaN,342,297,307,469,NaN,NaN,NaN,368,NaN,464,1827
3540,3270,2665,2781,NaN,3632,5194,4463,3870,5305,4090,3868,3594,NaN,2288,6071,4578,NaN,NaN,NaN,NaN,2856,2453,1875,1728,NaN,NaN,4175,NaN,1843
552,787,566,578,1299,662,1137,764,NaN,1160,990,NaN,205,164,204,NaN,158,NaN,NaN,NaN,208,NaN,NaN,236,269,300,291,245,NaN,196
NaN,10420,9531,12877,14175,18821,17809,13493,18383,16750,NaN,NaN,NaN,2225,NaN,NaN,NaN,NaN,NaN,NaN,2981,NaN,2028,1787,11455,9645,7958,13577,14455,11958
2803,NaN,3472,6652,2214,1843,6516,6151,3454,4491,NaN,4168,9067,5084,7815,9838,12046,NaN,NaN,2120,1997,8205,4967,NaN,1618,NaN,NaN,1936,NaN,NaN
62199,NaN,NaN,75162,68271,83022,69288,NaN,NaN,69912,66970,NaN,1.9765e+05,1.1144e+05,1.5974e+05,97837,1.8778e+05,NaN,NaN,1.8232e+05,1.2521e+05,1.1282e+05,1.5328e+05,1.4789e+05,60476,NaN,62255,68158,78273,70830
2.223e+05,2.6859e+05,2.6761e+05,5.7913e+05,2.7615e+05,2.631e+05,NaN,NaN,NaN,NaN,2.4758e+05,2.2056e+05,2.7427e+05,NaN,3.5916e+05,2.3633e+05,NaN,NaN,6.441e+05,3.5935e+05,4.4714e+05,2.5294e+05,3.9162e+05,5.6892e+05,NaN,NaN,NaN,1.9551e+05,NaN,NaN
950,1263,963,NaN,1000,1038,1085,1068,1025,1082,988,1018,1214,NaN,NaN,1188,996,NaN,904,986,847,913,984,NaN,982,877,834,NaN,NaN,844
14583,NaN,16896,NaN,13856,NaN,NaN,15209,15831,14569,12095,14237,14346,13496,18548,25214,14593,NaN,16247,14390,19122,14228,NaN,NaN,NaN,14704,12780,16566,16451,15586
1650,3772,1245,1669,4576,3024,2132,NaN,1494,2966,NaN,1421,2395,2355,NaN,NaN,3213,NaN,NaN,4232,NaN,NaN,4531,2924,2522,NaN,2879,2662,NaN,1831
3.2071e+05,3.1866e+05,2.9544e+05,2.5232e+05,2.8167e+05,3.101e+05,3.0094e+05,3.0389e+05,3.1841e+05,3.0437e+05,2.7658e+05,2.632e+05,3.2593e+05,NaN,2.4993e+05,NaN,2.6255e+05,NaN,NaN,2.5205e+05,2.7037e+05,2.9169e+05,2.5014e+05,NaN,2.4159e+05,NaN,NaN,2.3658e+05,2.3316e+05,2.7937e+05
NaN,891,1004,NaN,1078,825,1150,900,820,1165,916,757,NaN,NaN,1202,1115,1107,NaN,829,1241,930,NaN,1195,1024,NaN,NaN,NaN,777,895,NaN
60,NaN,NaN,61,58,54,61,48,42,74,NaN,92,56,NaN,NaN,66,NaN,NaN,51,NaN,53,79,NaN,54,NaN,57,51,42,NaN,72
1356,1652,1254,NaN,1154,1284,1358,1438,1452,1368,1169,1295,1642,NaN,1246,1148,1076,NaN,NaN,1313,1339,1236,1314,1107,1209,1063,NaN,NaN,NaN,1228
