NaN,131,NaN,NaN,171,NaN,240,NaN,NaN,NaN,NaN,204,3866,4186,2807,6492,5526,NaN,NaN,2442,3156,3436,3390,1732,153,180,120,152,169,121
510,NaN,400,579,NaN,781,NaN,430,591,527,NaN,617,206,NaN,156,112,135,NaN,189,NaN,301,170,171,106,532,356,382,515,517,435
NaN,122,86,80,88,97,89,115,NaN,106,NaN,99,87,NaN,106,NaN,NaN,NaN,NaN,105,105,87,68,NaN,74,59,54,NaN,86,48
193,266,228,NaN,NaN,NaN,307,241,218,326,203,223,1071,NaN,NaN,1255,1763,NaN,815,NaN,1068,NaN,1578,1519,NaN,59,NaN,123,NaN,125
2.446e+05,1.9723e+05,2.479e+05,1.5697e+05,2.2394e+05,2.3401e+05,NaN,1.7381e+05,1.9158e+05,1.8871e+05,2.0379e+05,1.8806e+05,NaN,NaN,15547,15560,13467,NaN,NaN,14295,14869,NaN,14228,13278,2.7867e+05,3.2637e+05,2.9834e+05,2.1415e+05,NaN,2.2508e+05
17776,21560,19290,NaN,20168,20326,23139,24619,27832,25831,24931,25368,13819,12893,NaN,13666,16240,NaN,NaN,16583,17671,17814,18699,20074,12275,NaN,16701,19445,21420,19568
77,NaN,66,68,NaN,NaN,113,74,79,78,58,NaN,791,493,577,633,648,NaN,532,NaN,NaN,567,537,388,NaN,NaN,51,84,NaN,NaN
NaN,647,608,816,782,724,418,485,409,446,585,511,453,NaN,505,NaN,366,NaN,718,448,578,NaN,469,689,585,344,620,571,483,515
4311,4025,4849,NaN,5081,4246,4680,4636,NaN,4385,4108,4018,7158,5056,NaN,NaN,7183,NaN,8183,9027,7471,7784,6565,4857,4446,4820,NaN,6174,5014,5091
2064,1940,2441,NaN,2460,1922,2562,NaN,1933,2257,2317,NaN,NaN,NaN,832,1072,1015,NaN,NaN,988,766,NaN,1021,898,NaN,757,NaN,NaN,NaN,NaN
3264,4525,3060,NaN,NaN,3670,3735,3738,4133,NaN,4175,3819,NaN,8184,NaN,12211,12121,NaN,10877,12163,14482,12051,12097,11467,NaN,NaN,NaN,NaN,NaN,NaN
