NaN,131,NaN,NaN,171,251,240,NaN,NaN,201,218,204,NaN,4186,2807,6492,5526,NaN,4216,2442,3156,3436,3390,1732,153,180,120,NaN,169,121
510,NaN,400,579,NaN,781,662,430,591,527,887,NaN,206,NaN,156,112,135,NaN,189,NaN,301,170,171,NaN,532,356,382,515,517,435
NaN,NaN,NaN,80,88,97,89,NaN,NaN,106,NaN,99,87,82,106,60,70,NaN,79,105,105,87,68,NaN,74,59,54,48,NaN,48
193,266,228,NaN,NaN,NaN,307,241,218,NaN,203,223,1071,715,1381,1255,NaN,NaN,815,NaN,1068,1902,1578,NaN,NaN,59,NaN,123,140,125
2.446e+05,1.9723e+05,2.479e+05,1.5697e+05,2.2394e+05,2.3401e+05,NaN,NaN,1.9158e+05,1.8871e+05,NaN,1.8806e+05,13865,NaN,15547,15560,NaN,NaN,NaN,14295,14869,18066,14228,NaN,2.7867e+05,NaN,2.9834e+05,2.1415e+05,2.3852e+05,NaN
17776,21560,NaN,NaN,20168,20326,NaN,24619,27832,25831,24931,25368,13819,12893,18136,13666,16240,NaN,NaN,16583,NaN,17814,18699,NaN,NaN,14024,16701,19445,NaN,NaN
77,82,66,NaN,100,110,NaN,74,79,78,58,74,791,493,NaN,NaN,648,NaN,532,NaN,503,567,NaN,388,NaN,NaN,51,84,114,41
593,647,608,816,782,724,418,NaN,409,NaN,585,511,NaN,1016,NaN,NaN,366,NaN,NaN,448,578,NaN,469,689,NaN,NaN,NaN,571,483,NaN
4311,4025,4849,NaN,NaN,4246,4680,NaN,NaN,4385,4108,4018,7158,NaN,NaN,7357,7183,NaN,NaN,9027,7471,7784,NaN,NaN,NaN,NaN,3808,6174,5014,NaN
NaN,1940,2441,1674,2460,1922,2562,2427,1933,2257,2317,1926,NaN,NaN,NaN,1072,NaN,NaN,791,988,766,1251,1021,898,939,757,775,1179,972,NaN
NaN,4525,3060,3123,NaN,NaN,3735,3738,NaN,4804,4175,3819,16579,8184,10701,12211,NaN,NaN,10877,12163,14482,NaN,NaN,11467,NaN,NaN,NaN,3659,4432,3429
606,1003,463,679,885,744,NaN,564,603,NaN,604,685,5481,2377,3481,NaN,4279,NaN,3679,3986,4700,NaN,NaN,NaN,NaN,NaN,540,687,907,NaN
364,666,437,522,532,NaN,494,395,478,459,NaN,417,175,751,NaN,NaN,NaN,NaN,1436,185,NaN,214,240,1063,460,NaN,NaN,533,618,545
3102,1355,3692,1689,NaN,2091,2852,2999,NaN,2678,2532,2427,1535,NaN,1617,2523,1724,NaN,1659,1606,1425,2579,NaN,1067,1659,1811,1459,2090,1381,1732
43,NaN,119,55,39,NaN,NaN,86,60,102,66,85,NaN,37,NaN,NaN,NaN,NaN,48,47,NaN,NaN,NaN,NaN,88,55,42,NaN,69,NaN
8125,11877,8898,6601,NaN,9024,10300,NaN,10995,NaN,9021,NaN,27669,18222,26685,18640,17693,NaN,19030,19754,25058,NaN,25731,17853,NaN,6796,6821,NaN,6229,5199
46551,NaN,46478,59133,NaN,29970,42274,56054,47131,56581,26482,62747,36751,25158,44382,75380,NaN,NaN,58075,NaN,47472,60628,51793,70576,NaN,61233,43434,41491,NaN,66488
NaN,329,753,8537,493,2802,438,NaN,292,363,NaN,868,512,6781,NaN,415,352,NaN,NaN,213,NaN,NaN,385,3329,NaN,315,768,543,NaN,206
379,605,371,459,NaN,369,322,358,NaN,332,NaN,343,NaN,NaN,296,365,298,NaN,259,NaN,NaN,307,469,225,418,NaN,368,361,464,1827
3540,NaN,2665,NaN,4038,3632,5194,4463,NaN,5305,4090,3868,NaN,1677,2288,6071,4578,NaN,NaN,1791,1405,2856,2453,1875,1728,NaN,NaN,4175,2152,1843
552,787,566,578,NaN,662,1137,764,697,1160,990,NaN,NaN,164,NaN,NaN,158,NaN,149,NaN,208,NaN,126,NaN,269,NaN,NaN,245,427,NaN
14148,10420,9531,12877,NaN,18821,NaN,NaN,18383,16750,23605,16882,NaN,2225,1029,NaN,NaN,NaN,1803,NaN,2981,1095,2028,NaN,11455,9645,7958,13577,14455,11958
