150,NaN,108,NaN,NaN,251,240,107,NaN,201,NaN,204,3866,NaN,NaN,NaN,5526,NaN,4216,2442,3156,3436,3390,NaN,153,180,NaN,NaN,NaN,121
510,381,400,579,551,781,662,430,591,527,887,617,206,NaN,156,NaN,NaN,NaN,189,NaN,301,170,NaN,106,532,NaN,382,NaN,517,NaN
119,122,86,80,88,97,89,115,NaN,106,NaN,99,87,82,NaN,60,NaN,NaN,79,NaN,105,87,NaN,NaN,74,NaN,54,48,86,48
NaN,266,228,118,NaN,NaN,307,NaN,218,NaN,203,223,NaN,715,1381,1255,1763,NaN,815,1850,1068,1902,1578,NaN,NaN,NaN,NaN,123,NaN,NaN
2.446e+05,NaN,2.479e+05,NaN,2.2394e+05,2.3401e+05,NaN,1.7381e+05,1.9158e+05,1.8871e+05,2.0379e+05,1.8806e+05,13865,NaN,15547,15560,NaN,NaN,NaN,NaN,14869,18066,14228,13278,2.7867e+05,3.2637e+05,2.9834e+05,2.1415e+05,2.3852e+05,2.2508e+05
17776,21560,19290,NaN,NaN,20326,23139,24619,27832,25831,NaN,25368,13819,NaN,18136,13666,16240,NaN,NaN,16583,17671,17814,18699,20074,NaN,14024,16701,19445,21420,NaN
NaN,NaN,66,68,100,110,113,74,NaN,78,58,NaN,NaN,493,577,633,NaN,NaN,532,677,503,567,537,NaN,NaN,NaN,NaN,84,114,41
593,647,608,816,782,724,418,485,409,NaN,NaN,511,453,1016,505,NaN,366,NaN,718,448,578,NaN,NaN,NaN,585,NaN,620,571,483,515
4311,4025,4849,NaN,5081,4246,4680,4636,NaN,NaN,4108,4018,7158,5056,8579,7357,7183,NaN,8183,9027,7471,7784,6565,4857,4446,4820,3808,NaN,NaN,5091
NaN,1940,2441,1674,2460,1922,NaN,2427,NaN,2257,2317,1926,NaN,NaN,832,1072,1015,NaN,NaN,988,766,1251,NaN,898,939,NaN,775,1179,972,634
NaN,4525,3060,NaN,4258,3670,3735,3738,NaN,4804,NaN,3819,16579,8184,10701,12211,12121,NaN,10877,12163,14482,12051,NaN,11467,2628,NaN,NaN,3659,4432,3429
606,1003,463,NaN,885,744,442,564,NaN,866,604,685,5481,NaN,NaN,4006,4279,NaN,NaN,3986,4700,4000,NaN,NaN,NaN,NaN,540,687,907,718
364,666,437,522,NaN,503,NaN,395,478,459,385,417,175,751,NaN,NaN,NaN,NaN,1436,185,189,214,240,NaN,460,491,444,NaN,NaN,NaN
3102,1355,3692,1689,NaN,2091,2852,2999,2505,NaN,NaN,2427,1535,NaN,1617,2523,1724,NaN,1659,1606,NaN,2579,NaN,1067,NaN,1811,1459,2090,1381,1732
43,79,119,55,39,84,40,NaN,NaN,102,66,85,63,37,46,NaN,NaN,NaN,NaN,NaN,86,73,NaN,NaN,88,NaN,NaN,NaN,NaN,135
8125,11877,8898,NaN,NaN,9024,10300,8508,10995,8135,NaN,9447,NaN,NaN,NaN,NaN,17693,NaN,19030,NaN,NaN,19115,25731,17853,NaN,6796,6821,NaN,6229,NaN
46551,80976,NaN,59133,34747,29970,42274,NaN,47131,NaN,NaN,62747,36751,NaN,NaN,75380,77806,NaN,NaN,NaN,NaN,60628,51793,NaN,NaN,61233,43434,41491,NaN,66488
426,NaN,753,8537,493,2802,438,398,NaN,NaN,3750,868,512,NaN,367,415,NaN,NaN,NaN,NaN,NaN,213,NaN,3329,NaN,315,NaN,543,461,206
379,605,NaN,NaN,433,369,322,358,325,332,NaN,343,315,221,NaN,365,298,NaN,259,NaN,297,307,469,225,NaN,NaN,368,361,464,1827
3540,3270,NaN,2781,4038,NaN,5194,4463,NaN,5305,NaN,3868,NaN,NaN,2288,6071,4578,NaN,NaN,1791,1405,NaN,2453,NaN,NaN,NaN,1256,4175,NaN,1843
552,787,NaN,578,1299,662,1137,764,697,1160,990,NaN,205,164,204,NaN,158,NaN,149,144,208,NaN,126,236,269,300,291,245,NaN,196
14148,10420,9531,12877,14175,NaN,NaN,13493,18383,16750,23605,16882,1337,NaN,1029,NaN,NaN,NaN,1803,NaN,2981,1095,2028,1787,NaN,9645,7958,NaN,14455,11958
2803,1881,3472,6652,2214,1843,6516,6151,3454,4491,8486,4168,9067,5084,7815,NaN,12046,NaN,NaN,2120,1997,8205,4967,1477,NaN,NaN,1253,1936,NaN,1271
62199,75375,NaN,75162,68271,83022,NaN,58472,58057,69912,66970,60090,1.9765e+05,1.1144e+05,1.5974e+05,97837,1.8778e+05,NaN,NaN,1.8232e+05,NaN,1.1282e+05,1.5328e+05,1.4789e+05,NaN,NaN,NaN,68158,78273,70830
