"","x"
"1",0.562993648495377
"2",0.757868132264062
"3",0.750423295490021
"4",0.751120097997143
"5",0.868770633401072
"6",0.615028920961556
"7",0.72037014468756
"8",0.792981050048756
"9",0.563868013109191
"10",0.822032004188383
"11",0.638589171679658
"12",0.692029317028435
"13",0.638550921759186
"14",0.753137395684539
"15",0.834836346676558
"16",0.656854506880859
"17",0.602742267483981
"18",0.782480011915607
"19",0.782580982461353
"20",0.622741601321361
"21",0.652586856376422
"22",0.690900287472107
"23",0.694290619720324
"24",0.585358948974381
"25",0.635098466113408
"26",0.626936766615218
"27",0.62095540310851
"28",0.685932644687371
"29",0.653668768872429
"30",0.725056343707168
"31",0.706006190626576
"32",0.58235393289114
"33",0.730543371473985
"34",0.575559504854958
"35",0.660586123888843
"36",0.619926783868854
"37",0.560935437889343
"38",0.602897344062909
"39",0.725577689092778
"40",0.799822569862393
"41",0.668625372483109
"42",0.638029027034959
"43",0.682774362662387
"44",0.71425137712798
"45",0.589043766497675
"46",0.665236158883528
"47",0.558581176397576
"48",0.520561901071287
"49",0.723290025665652
"50",0.577184923430352
"51",0.611430701475145
"52",0.615974580067505
"53",0.755108076198761
"54",0.646284455773367
"55",0.789332238643291
"56",0.715827792392126
"57",0.808802203736756
"58",0.684157020207134
"59",0.586784254976473
"60",0.646026673910375
"61",0.605307513438767
"62",0.626787571811252
"63",0.735474849134217
"64",0.568513838541381
"65",0.553088091889663
"66",0.598563464828237
"67",0.692525314290071
"68",0.563687678056854
"69",0.638663395175333
"70",0.538911974719159
"71",0.63729544831106
"72",0.652757869043882
"73",0.594841265497615
"74",0.659040045108388
"75",0.681735105373483
"76",0.786385836084468
"77",0.630585352516673
"78",0.736646677392734
"79",0.655177060872781
"80",0.730555005743185
"81",0.709943462744281
"82",0.803347868700515
"83",0.590116337620176
"84",0.751278202632625
"85",0.603015745199154
"86",0.76428108569724
"87",0.755277953240139
"88",0.697955543602952
"89",0.779433616275817
"90",0.618764007731557
"91",0.632159413911123
"92",0.626486162828799
"93",0.729944937675798
"94",0.644551892077787
"95",0.562927613898969
"96",0.57398933750632
"97",0.665455949007232
"98",0.673983009245638
"99",0.654585599380775
"100",0.606402036337345
