"","x"
"1",0.62849467429958
"2",0.669475874811108
"3",0.66389827479962
"4",0.581232101927678
"5",0.67945276221957
"6",0.663640018345539
"7",0.705739192417196
"8",0.671807218487067
"9",0.697530692594386
"10",0.646174775712665
"11",0.693837940830597
"12",0.609367062337587
"13",0.677654034175472
"14",0.609866023846644
"15",0.683360407997811
"16",0.641282960599542
"17",0.634822805741444
"18",0.597854440726956
"19",0.673466510485707
"20",0.631788471740912
"21",0.654548447799527
"22",0.590536782800106
"23",0.626163663811651
"24",0.701109500214777
"25",0.635344706688082
"26",0.658818767852246
"27",0.71867138081482
"28",0.612495985062007
"29",0.609779705764163
"30",0.845636881058393
"31",0.752340411728696
"32",0.619726564012377
"33",0.682434048595756
"34",0.732118802238109
"35",0.713241100552879
"36",0.6625821383377
"37",0.61319561839971
"38",0.571333186254474
"39",0.659409492547803
"40",0.612148688933502
"41",0.608584641832015
"42",0.703909955318545
"43",0.61286168699559
"44",0.682435653083317
"45",0.660820338795596
"46",0.654650314200684
"47",0.655831525963411
"48",0.74782433160718
"49",0.652913148356093
"50",0.631271550759106
"51",0.623243484985549
"52",0.685940543805085
"53",0.620219759667629
"54",0.663320919436558
"55",0.629584750081039
"56",0.662700963535002
"57",0.653917330107971
"58",0.635597617801516
"59",0.643834187230614
"60",0.714582185526308
"61",0.677507269963063
"62",0.631503628185542
"63",0.737801184270096
"64",0.659622645670186
"65",0.681143712145986
"66",0.703421471832287
"67",0.678714061220983
"68",0.59721524894686
"69",0.599228108114304
"70",0.673339948602176
"71",0.642458710337149
"72",0.612202379618248
"73",0.577755870730258
"74",0.740260224961447
"75",0.62252422522568
"76",0.656031466064005
"77",0.57123994045368
"78",0.5859748516211
"79",0.593965770716207
"80",0.63842416336767
"81",0.703575169181818
"82",0.633460390749839
"83",0.673616234306343
"84",0.719067282895063
"85",0.611162275637123
"86",0.644188491632103
"87",0.631070223643402
"88",0.657528919072297
"89",0.751955659920571
"90",0.692425203597514
"91",0.718697066139169
"92",0.742645044395408
"93",0.658878554417075
"94",0.599735239251496
"95",0.717072998581143
"96",0.647202822961639
"97",0.640495161424233
"98",0.660025696460106
"99",0.667118111934326
"100",0.674370882856006
