"","x"
"1",1.03544520005788
"2",1.35722561723513
"3",1.12994289386079
"4",1.03148869003223
"5",1.13543711711588
"6",1.14116446395664
"7",1.23651554759063
"8",1.17998958287157
"9",1.05107757773228
"10",1.32613722060549
"11",0.992485931017089
"12",1.16112079881466
"13",1.11223731562128
"14",1.07435830956023
"15",0.920579922678216
"16",1.30749585539075
"17",1.11398338888639
"18",1.35083447936899
"19",1.03411802995788
"20",1.31489205052045
"21",1.17112395786462
"22",0.995464051480511
"23",1.14597429030923
"24",1.24985158421006
"25",1.03611637942445
"26",1.13041181604135
"27",1.2035575216718
"28",1.13694819223027
"29",1.03292582282535
"30",1.22674845996829
"31",1.32956610188937
"32",1.19192881897568
"33",1.09639726308711
"34",1.21547079582373
"35",1.18549050089968
"36",1.03723306968961
"37",1.12149945836779
"38",1.0857371672811
"39",1.04895043614752
"40",1.25961295708635
"41",1.07465353346655
"42",1.1137888897051
"43",1.1541756934832
"44",0.993557071032995
"45",1.04370966225067
"46",1.02403707992329
"47",1.07839975534173
"48",1.05999950491363
"49",1.02628907103373
"50",1.18846268107798
"51",1.00506769480894
"52",1.14162876448814
"53",1.26843683836017
"54",1.00812191132376
"55",1.31508946394982
"56",1.14733712921655
"57",1.25471938756295
"58",1.02984557702111
"59",1.27585263823781
"60",1.1534135303568
"61",1.08906151924371
"62",1.22350934312778
"63",1.1487902382724
"64",1.43877064263859
"65",1.06434080258332
"66",1.47629380400729
"67",1.29886585224898
"68",1.22125273760146
"69",1.32110565056531
"70",1.23421292088057
"71",1.1033669353801
"72",1.02551520798414
"73",1.17851807925132
"74",1.32424461748619
"75",1.22558533069468
"76",1.35119071763629
"77",1.14827062572946
"78",1.19909624830645
"79",1.09710813778716
"80",1.1859769512882
"81",1.43756697383046
"82",1.09307488971046
"83",1.03795681741816
"84",1.01545545902259
"85",1.21139035535214
"86",1.0163668122449
"87",1.239607406076
"88",1.16103487608074
"89",1.04402000648375
"90",1.3483282869971
"91",1.3876182105383
"92",1.05669750423308
"93",1.26431667079829
"94",1.05677716860566
"95",1.09679704928119
"96",1.05390373853682
"97",1.24566068746658
"98",1.33363412000892
"99",1.00568031382513
"100",1.00141378017124
