"","x"
"1",0.577952807229225
"2",0.558250638964478
"3",0.537328731286981
"4",0.603515548031205
"5",0.542947881119157
"6",0.529912997159097
"7",0.52777710872771
"8",0.56736696158608
"9",0.686532274141917
"10",0.584393824689611
"11",0.599709346965171
"12",0.570171391268168
"13",0.557855907085382
"14",0.619422181150605
"15",0.602889788353851
"16",0.673648235804433
"17",0.687450846464508
"18",0.587946545343709
"19",0.621271859098114
"20",0.646008776313457
"21",0.597983890439879
"22",0.53020519909681
"23",0.628074950016999
"24",0.575395691652908
"25",0.560398506831459
"26",0.551125149099708
"27",0.49711257754958
"28",0.657546642133665
"29",0.633873410200714
"30",0.588645199881796
"31",0.661494493508018
"32",0.49166315096065
"33",0.508799739716167
"34",0.620669742485064
"35",0.559804295055953
"36",0.575084439050801
"37",0.524406329532336
"38",0.620616334010747
"39",0.605024160908934
"40",0.531345535668846
"41",0.619920154534647
"42",0.56643556467944
"43",0.624205370800261
"44",0.576163776801146
"45",0.518316742833692
"46",0.637529718016521
"47",0.645387166299966
"48",0.60722571466527
"49",0.582540174263343
"50",0.529507115086482
"51",0.558784550639214
"52",0.564072759972109
"53",0.531463257311696
"54",0.668294887144183
"55",0.570586636134522
"56",0.594861508202027
"57",0.639681081638335
"58",0.564838381631189
"59",0.623971030919884
"60",0.563995132449581
"61",0.523211061121682
"62",0.606303360903891
"63",0.531788281796038
"64",0.622794397548648
"65",0.492028613967483
"66",0.638908970086928
"67",0.599147550833097
"68",0.662440837895154
"69",0.620307878963738
"70",0.457600503065109
"71",0.536852666284121
"72",0.541173677312207
"73",0.532049365644136
"74",0.612242569750817
"75",0.554496778625162
"76",0.554333476027972
"77",0.640156215363949
"78",0.625647069434631
"79",0.572056758607317
"80",0.654873514314792
"81",0.629666439162696
"82",0.603766363935867
"83",0.59602070877958
"84",0.497546715085673
"85",0.580427703438201
"86",0.554659341246485
"87",0.549973934920181
"88",0.568161627343509
"89",0.609683970703989
"90",0.605319186362174
"91",0.540749508551721
"92",0.63484724969351
"93",0.522376009565131
"94",0.539894864857007
"95",0.500599091596134
"96",0.647858568500508
"97",0.611274053089375
"98",0.497032695594973
"99",0.635905513794896
"100",0.573116166175534
