"","x"
"1",0.437094121441143
"2",0.631764224480688
"3",0.440364029218003
"4",0.880362514599378
"5",0.903236228619432
"6",0.494040963795775
"7",0.855652662532396
"8",0.824404868969687
"9",0.669137778828677
"10",0.462853434711146
"11",0.773449609568828
"12",0.501884859770248
"13",0.437713097074816
"14",0.622064413105358
"15",0.652659490069532
"16",0.603524969242199
"17",0.924886440324314
"18",0.502524526051531
"19",0.84470558269288
"20",0.91059023806383
"21",0.481920389204043
"22",0.512345154646759
"23",0.785502165624893
"24",0.670625105397326
"25",0.51475921992187
"26",0.566660575904425
"27",0.512543674559431
"28",0.719017132996377
"29",0.939867775749312
"30",0.785739791745656
"31",0.622681457105957
"32",0.674253295019548
"33",0.618497388576389
"34",0.813189673224172
"35",0.476465576109092
"36",0.497335804438306
"37",0.781988488292957
"38",0.720317507634046
"39",0.632560406752668
"40",0.438965888171123
"41",0.508301624514901
"42",0.759482486586956
"43",0.662679329639476
"44",0.592483359291757
"45",0.783085458377443
"46",0.506722643518693
"47",0.526327249303247
"48",0.563675035710985
"49",0.464685435636135
"50",0.909999490943364
"51",0.5203158125652
"52",0.917231243644337
"53",0.63051029213132
"54",0.840373425035107
"55",0.941859445738807
"56",0.502186440343775
"57",0.537924182211468
"58",0.839960281907968
"59",0.638555525568653
"60",0.735481406138276
"61",0.543219120764488
"62",0.977732550538969
"63",0.720321030978062
"64",0.835763684636162
"65",0.568473253095294
"66",0.640026247461401
"67",0.767366276861978
"68",0.555401514889169
"69",0.535755622421103
"70",0.544465179140291
"71",0.644940046974135
"72",0.833124964435294
"73",0.963213346661369
"74",0.785254516982522
"75",0.618736707766686
"76",0.693940875110446
"77",0.6709762201542
"78",0.518169930327324
"79",0.548275801318117
"80",0.456193816476751
"81",0.722258428321729
"82",0.494168695515581
"83",0.589999641112566
"84",0.486824250698002
"85",0.687901398008352
"86",0.53328345892576
"87",0.485961549928785
"88",0.469424445100878
"89",0.455790277984571
"90",0.563509832110963
"91",0.856797769538455
"92",0.733591644935956
"93",0.766312978909162
"94",0.718086914034619
"95",0.91054906563732
"96",0.424184160209277
"97",0.453722131503779
"98",0.769811535094355
"99",0.552003343751215
"100",0.823247048988167
