"","x"
"1",0.546607809190118
"2",0.97718212563919
"3",0.93534286688057
"4",0.654099763043841
"5",0.602618001814928
"6",0.473916728666521
"7",0.724504423738672
"8",0.710869490081809
"9",0.768224301568216
"10",0.549567033892654
"11",0.48411444295371
"12",0.932351254555483
"13",0.670440678759564
"14",0.72156846755957
"15",0.806300655893955
"16",0.58976728428652
"17",0.50123193523671
"18",0.412741356002662
"19",0.84976321777896
"20",0.520272986673893
"21",0.806931489268715
"22",0.518697425806349
"23",0.486584553133126
"24",0.549607185388625
"25",0.923717814600584
"26",0.654449074661365
"27",0.483715273298248
"28",0.503997514331676
"29",0.482576947660412
"30",0.670647113048754
"31",0.652593482555655
"32",0.534543119256316
"33",0.546821245839774
"34",0.61996107646345
"35",0.758243081845715
"36",1.05230249754072
"37",0.757930642222306
"38",0.485036668212966
"39",0.615009183154151
"40",0.835914015864816
"41",0.414281497174113
"42",0.958321812643428
"43",0.84529980339733
"44",0.688035752307742
"45",0.457418458590682
"46",0.737476032453089
"47",0.583948072886136
"48",0.551552138059657
"49",0.638849600967625
"50",0.560867268783311
"51",0.879201738224282
"52",0.753129738889977
"53",0.570186294092679
"54",0.479424292437981
"55",0.457041428533232
"56",0.772874851494303
"57",0.633712317121932
"58",0.461865213839435
"59",0.558926098532693
"60",0.835411481503454
"61",0.605692632461319
"62",0.531618350271925
"63",0.700963853787918
"64",0.509814317439518
"65",0.668279472346022
"66",0.510440603504557
"67",0.964790442234402
"68",0.862191056014776
"69",0.558442605102497
"70",0.710461231162975
"71",0.446970261315988
"72",0.488420709886127
"73",0.859166055236007
"74",0.523752715343545
"75",0.717692676025569
"76",0.513491937987613
"77",0.522796946042969
"78",0.506234153929254
"79",0.63707050645588
"80",0.669546114279436
"81",0.914224619193255
"82",0.558224157546414
"83",1.05687561906195
"84",0.648774505369027
"85",0.517685922824051
"86",0.465195946695379
"87",0.590840102519774
"88",0.452986497603365
"89",0.471150729700634
"90",0.608620259584558
"91",0.65902154219407
"92",0.747991389224324
"93",0.589054235633523
"94",0.486448544891732
"95",0.673384499581819
"96",0.587543155090865
"97",0.614910846523429
"98",0.663178651861528
"99",0.575935083495357
"100",0.742695513757025
