"","x"
"1",0.472041302747735
"2",0.493558856492083
"3",0.476524963146176
"4",0.493080286336401
"5",0.487317992794726
"6",0.459020263667912
"7",0.512280432904147
"8",0.514249482478038
"9",0.509733298395702
"10",0.488774745667253
"11",0.483951945409986
"12",0.469102858242253
"13",0.50492004061149
"14",0.478211456676821
"15",0.494406454740039
"16",0.476420666914193
"17",0.473666651111555
"18",0.488676617676881
"19",0.512053306882105
"20",0.514426137053865
"21",0.472573354891789
"22",0.521150882841432
"23",0.50208003062382
"24",0.487569480287354
"25",0.509058510248292
"26",0.500618477090327
"27",0.466034073147509
"28",0.491151456069434
"29",0.496662872512615
"30",0.479334642021684
"31",0.487784011733216
"32",0.506145599388442
"33",0.490041592960724
"34",0.490948913439001
"35",0.502562551248076
"36",0.524086306203329
"37",0.481672191471961
"38",0.504616636730588
"39",0.492990916653425
"40",0.521705618855799
"41",0.489348490108282
"42",0.502309380000959
"43",0.500064206361846
"44",0.487297785115913
"45",0.492883499910692
"46",0.485892260761776
"47",0.473182367913068
"48",0.508404802424835
"49",0.462779365832091
"50",0.502359875380674
"51",0.48472586443493
"52",0.537694667911117
"53",0.487595462260375
"54",0.478464977089928
"55",0.494629736675585
"56",0.485547925291723
"57",0.503917646016142
"58",0.504962838651227
"59",0.514588097948329
"60",0.491890987873494
"61",0.472195037183508
"62",0.51182517549472
"63",0.495468975165849
"64",0.491923780167128
"65",0.468018544192069
"66",0.465975043518282
"67",0.484773953724898
"68",0.507473885897916
"69",0.486466082275016
"70",0.521128496964813
"71",0.486307234572712
"72",0.500633739039218
"73",0.46040386890804
"74",0.514346450758797
"75",0.504620793005768
"76",0.465658228550811
"77",0.484408503646928
"78",0.495382860933137
"79",0.499089184047579
"80",0.473496622060901
"81",0.472010661535222
"82",0.459496806256438
"83",0.484878598128761
"84",0.491024633005811
"85",0.47281313792707
"86",0.475307140643934
"87",0.508323587559627
"88",0.494308836824821
"89",0.489259705329585
"90",0.488471808336696
"91",0.515773033576434
"92",0.502436415980231
"93",0.483471244448923
"94",0.483811500484427
"95",0.510538244581125
"96",0.497633413018223
"97",0.497014840963025
"98",0.48154888021595
"99",0.494934070270139
"100",0.472194066562664
